Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),TSM-AS20(11),TSM-AS19(11),TSM-AS27(5),TSM-AS18(11),TSM-AS11(11),TSM-AS17(11),TSM-AS35(5),TSM-AS12(11),TSM-PS33(5),TSM-PS27(5),TSM-AS33(5),TSM-AS39(5),TSM-AS36(5),TSM-AS30(5),TSM-AS29(5),TSM-AS5(11),TSM-AS37(5),TSM-AS31(5),TSM-PS32(5),PRM1,PRM2,PRM3,PRM4,PRM5,PRM6,PRM7,PRM8,PRM9,PRM10,PRM11,PRM12,PRM13,PRM14,PRM15,PRM16,PRM17,PRM18,PRM19,PRM20,PRM21,PRM22,PRM23,PRM24
1985-08-01,25.9083,23.9853,22.3737,23.362,23.5887,20.8488,22.5158,22.2606,23.7881,23.6745,24.4084,21.5823,25.738,21.1193,22.3123,21.5229,20.5181,22.0657,25.9231,25.383,24.7989,22.2475,24.9244,22.7165,29.9324,24.9781,12.714,4.16325,3.71876,5.31251,27.7739,22.4633,13.689,6.82985,3.84921,4.10123,26.2024,22.6451,18.3059,13.9883,12.6268,7.44138,26.5472,24.9579,19.8472,15.0377,6.74105,5.19694
1985-09-01,24.7481,24.0066,23.041,24.1041,22.6662,20.6241,22.2747,21.5165,24.0465,23.9437,25.17,21.1672,26.2819,20.0432,20.7473,20.5596,19.5221,21.6907,24.9739,24.7931,25.4154,21.4649,23.9148,21.7481,53.265,59.663,64.085,82.0527,81.1392,79.6792,65.7719,83.9902,101.103,97.6129,88.379,89.8887,113.205,166.055,136.518,94.484,69.1692,75.7771,146.498,236.537,194.588,54.5404,29.816,40.339
1985-10-01,23.308,24.5314,22.0056,22.3093,21.9122,21.0955,22.8466,20.666,24.4692,24.7346,25.8176,19.8082,26.6242,19.4358,19.4213,19.7746,18.6427,20.1137,23.1666,23.1546,26.0842,20.0796,22.4645,21.1965,51.2965,71.4857,102.064,147.029,95.1669,78.634,73.3474,113.788,196.397,189.032,112.72,88.7819,204.776,259.025,259.851,216.817,146.041,114.28,291.173,339.159,304.949,183.958,168.258,184.748
1985-11-01,21.5934,25.334,20.4531,20.7257,20.8106,21.7098,23.3762,19.5552,25.4202,25.9326,26.9113,18.3086,27.3739,18.9159,18.1919,18.7903,17.934,18.856,22.081,21.6592,26.4307,18.9476,21.4836,20.3925,157.852,159.501,150.222,149.267,150.973,185.539,160.32,165.056,169.723,166.942,153.468,168.684,164.167,174.069,180.464,169.965,157.098,141.268,176.923,182.593,184.476,158.429,139.069,185.936
1985-12-01,20.1716,26.1974,18.5193,18.8608,20.0372,23.0412,24.2243,18.7505,26.1998,26.9554,27.5144,17.5204,27.9533,18.1453,17.6094,18.0731,17.0164,17.3044,20.4824,20.5466,27.0776,17.1762,19.9874,19.2976,392.496,395.038,400.259,446.203,454.517,409.284,414.858,440.156,500.297,516.691,505.892,449.644,429.194,464.468,517.661,495.579,456.947,433.386,404.698,444.38,467.066,440.981,396.44,464.023
1986-01-01,18.967,27.1748,18.0327,17.9537,18.8805,24.6285,25.3744,18.2644,27.0291,27.7341,27.9415,17.3497,28.2895,16.9581,16.5611,17.7928,16.4686,16.7873,19.9156,20.3285,27.6871,16.4177,19.4039,18.3209,227.698,223.181,215.674,268.006,403.096,407.384,220.275,223.18,219.703,233.496,390.137,413.972,202.252,232.394,258.951,244.781,352.039,357.666,162.98,206.297,236.996,229.59,227.868,284.251
1986-02-01,18.7018,27.8414,17.9798,17.0687,18.6828,24.6442,25.7473,18.0524,27.1168,28.0283,28.2515,17.1642,28.2796,16.8348,16.5886,17.5075,16.0932,16.3001,19.3916,20.0079,28.3718,16.0688,19.0454,18.0488,386.043,368.581,322.863,278.331,288.971,296.16,368.294,353.819,267.917,234.071,260.611,294.632,331.746,407.851,314.7,255.429,299.553,330.919,364.529,491.552,445.716,258.633,247.33,296.57
1986-03-01,18.9442,27.6148,18.0267,17.0094,19.0011,24.0214,25.2817,18.2162,26.6789,27.9821,27.8018,17.7609,28.0884,17.7715,16.9468,17.5216,16.3032,16.7709,19.7503,20.7475,28.4246,16.672,19.5993,18.5531,470.034,473.728,437.7,389.143,396.231,433.942,459.359,466.636,410.519,352.325,361.139,382.633,387.313,491.412,462.709,376.938,320.501,288.85,371.532,517.309,496.767,309.344,264.225,254.547
1986-04-01,19.8029,26.9294,18.8986,17.2597,19.2962,23.2698,24.6791,18.9133,26.0255,26.8999,27.0419,18.3373,27.7894,18.4791,18.0155,18.7519,17.8013,17.0777,20.3657,21.2808,27.4003,17.0115,20.428,19.4835,232.501,244.101,276.357,346.518,444.057,529.085,213.778,223.276,236.704,289.998,375.47,449.099,248.574,316.892,258.38,245.754,253.869,265.857,310.894,437.848,406.752,250.358,198.521,238.185
1986-05-01,21.6788,25.7216,19.9798,18.6108,20.7862,22.0885,23.7829,20.8536,25.2777,25.0797,26.171,19.5652,27.1143,19.9687,19.8076,20.7346,19.7534,19.0985,22.557,22.5975,24.8508,19.6532,23.1478,20.7854,72.6851,81.9148,102.249,115.624,109.423,100.419,75.9482,98.9149,132.223,125.722,92.6013,68.4562,86.8562,130.767,152.138,134.519,82.691,54.6101,91.9371,152.842,151.037,85.9766,50.7258,32.8329
1986-06-01,23.8039,24.6691,20.9935,21.0345,21.9559,21.1796,22.8013,22.1315,24.0075,23.3501,24.9359,21.715,26.0781,21.1415,21.0591,22.1735,21.142,21.4909,25.2241,25.0193,23.9405,22.3003,25.2895,22.481,143.459,136.333,99.5453,78.8271,103.487,130.992,130.209,121.578,72.849,56.0743,83.5796,112.652,70.3894,86.7825,71.7132,50.7811,53.1365,52.2741,29.4071,77.0674,74.3067,37.3607,36.4337,36.3111
1986-07-01,25.3115,23.6027,23.0588,22.8664,22.9025,20.4978,22.3881,22.6299,23.4689,22.3969,24.269,23.3806,25.6319,21.339,21.9673,22.4145,21.931,23.4586,26.6569,26.5619,23.4973,23.4842,26.018,22.9536,9.69544,12.0147,16.8748,20.257,11.4225,9.06547,30.2578,27.7206,25.3976,18.1247,6.33174,4.17306,80.1349,76.2708,40.7393,14.3926,4.1237,4.64589,110.501,138.263,86.2833,21.2894,7.30866,10.5494
1986-08-01,25.5193,23.17,24.0531,23.8557,23.1881,20.1993,22.0365,22.7575,23.3426,22.6321,24.3201,22.9489,25.7054,21.21,21.4113,22.6132,21.7624,23.2237,26.3188,26.4188,23.589,23.3088,25.6295,23.1632,21.2098,23.6897,22.2391,23.058,27.6996,20.0501,26.343,30.5816,40.3672,35.6639,30.2752,18.6967,40.681,40.2452,43.9456,36.9867,23.65,12.9217,49.3042,48.9217,43.0998,23.0952,15.3918,8.82389
1986-09-01,24.5093,23.5224,23.3269,23.1279,22.2812,20.3857,22.5657,22.1801,24.5091,23.4086,25.5674,21.7574,26.5815,20.5521,19.9956,21.7048,20.3824,22.0772,25.006,25.0982,24.8674,22.105,24.6844,22.2618,18.2828,19.514,24.3831,33.2087,40.5351,31.9373,31.6968,33.8699,44.901,43.922,43.7035,36.3599,105.144,100.966,64.5191,43.6686,30.3226,33.4776,168.405,178.873,145.033,65.0479,46.9204,80.7429
1986-10-01,23.0421,24.1708,22.4737,21.5175,21.4888,20.9218,23.3043,21.1628,25.2383,24.7608,26.01,19.9222,26.8848,20.1815,19.3362,20.8933,19.6755,19.892,23.3794,23.3537,25.9086,20.1122,23.4194,21.3308,152.893,171.018,200.987,219.669,218.818,183.909,156.347,178.851,212.9,204.334,195.274,166.012,200.898,283.001,257.549,192.894,139.883,133.258,226.858,369.768,356.454,230.463,208.364,203.555
1986-11-01,21.3956,24.7879,20.9674,20.2971,20.493,21.853,23.4878,20.1815,25.6469,25.8923,26.3759,18.9499,26.9237,19.2254,18.4362,19.4359,17.9901,18.6538,21.9367,22.1445,26.5147,18.1789,21.0238,20.5464,196.804,178.424,125.326,121.633,182.319,213.088,182.442,165.106,100.712,105.683,166.514,163.744,126.397,141.475,89.1174,73.3065,97.2613,94.864,95.1013,167.205,158.495,107.85,89.946,119.747
