,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
0,60.5603,80.5492,56.5288,55.284800000000004,59.6279,654.2860000000001
1,65.10759999999999,79.71090000000001,56.46940000000001,56.72370000000001,61.839200000000005,502.5099
2,78.146,69.6548,67.4154,71.09700000000001,70.1609,77.3525
3,78.4688,70.7633,65.96340000000001,71.3492,69.681,115.7802
4,66.7015,80.59270000000001,54.5496,60.63849999999999,60.5666,643.63
5,64.01820000000001,78.8797,56.3133,55.9198,59.0466,1138.444
6,74.8858,68.9595,70.3263,67.9235,69.66629999999999,73.6808
7,71.5398,71.1686,66.95920000000001,66.80529999999999,66.5753,265.84749999999997
8,60.1707,81.4073,55.56700000000001,54.3162,58.436499999999995,846.321
9,61.84779999999999,81.2205,55.6029,54.0494,58.583800000000004,762.576
10,74.1005,73.1243,64.5928,66.8476,68.6192,74.58590000000001
11,69.6495,73.872,65.49969999999999,67.1391,65.38900000000001,262.4135
