Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
2005-02-01,19.1179,27.6345,18.1097,17.0379,18.6678,343.46
2005-03-01,19.5801,27.5814,17.9468,17.6673,18.8291,432.476
2005-04-01,20.4029,26.8297,18.5677,18.124,19.1439,250.076
2005-05-01,21.8547,25.4768,19.2852,19.2982,20.1151,208.384
2005-06-01,23.9258,24.1855,20.2987,20.8318,21.6753,42.1363
2005-07-01,25.0716,23.399,22.8716,23.0906,23.0391,39.7761
2005-08-01,25.7511,23.2763,23.3466,23.345,23.9512,12.1278
2005-09-01,25.0654,22.963,23.5742,23.8357,22.9834,26.2983
2005-10-01,23.8209,23.6901,22.6046,22.5069,21.8698,19.6231
2005-11-01,21.834,24.7447,21.4688,20.5908,20.7309,34.8777
2005-12-01,20.2516,26.1513,20.6599,18.8078,19.9281,346.596
2006-01-01,19.2684,27.5201,19.309,17.5631,19.2358,314.641
2006-02-01,18.7526,27.9221,19.0601,16.9064,18.6383,376.856
2006-03-01,18.5049,27.7777,18.7493,16.7967,18.5482,461.195
2006-04-01,19.3071,26.8855,19.3166,17.1046,18.9428,396.596
2006-05-01,21.0943,25.4991,20.269,18.323,20.2364,312.799
2006-06-01,23.5777,24.0931,21.8592,20.3634,22.0302,50.1316
2006-07-01,25.5148,23.1881,23.6949,22.8824,23.5353,16.8613
2006-08-01,26.0591,22.878,24.1147,24.3963,23.5389,7.89131
2006-09-01,25.3388,23.2383,23.8669,23.7181,22.736,100.656
2006-10-01,24.1707,23.6705,22.9031,22.2069,21.9519,73.2828
2006-11-01,22.2396,24.1639,20.837,21.3928,20.7441,81.0335
2006-12-01,20.9865,25.1913,19.7255,19.5279,19.877,106.076
2007-01-01,20.3246,26.8785,18.8797,18.5231,19.6065,119.945
2007-02-01,19.7472,27.9787,18.5239,17.9166,19.3072,420.889
2007-03-01,20.1395,28.0834,18.0766,17.8642,19.3549,307.367
2007-04-01,20.6055,27.3253,18.7721,18.4783,19.5515,224.702
2007-05-01,21.9581,26.1822,19.5491,19.3407,20.2859,187.787
2007-06-01,23.6716,25.0487,21.7582,20.5857,21.6002,70.7718
2007-07-01,25.3117,24.0227,23.4862,22.8585,23.3535,46.799
2007-08-01,25.7666,23.4904,24.1313,24.0925,23.4023,26.6782
2007-09-01,25.0831,23.5218,24.1442,23.4885,22.7168,4.02171
2007-10-01,23.5597,24.0722,23.6979,22.1465,21.7525,54.1157
2007-11-01,21.5944,25.0622,21.53,20.3333,20.2489,50.8867
2007-12-01,20.1695,26.0489,18.8815,18.2874,19.5184,189.357
2008-01-01,18.6741,27.1904,17.9901,16.9295,18.5213,237.5
2008-02-01,17.6846,27.7755,17.7605,16.0657,17.7155,273.382
2008-03-01,17.6489,27.8373,18.2922,15.3693,17.6471,448.841
2008-04-01,18.2599,26.8051,19.065,15.967,17.706,384.001
2008-05-01,19.936,25.9101,20.2801,17.3473,18.802,261.392
2008-06-01,23.0041,24.6953,22.0118,19.2598,20.9419,49.8782
2008-07-01,25.2301,23.5308,23.6784,22.4301,23.3756,5.62107
2008-08-01,26.0646,23.5507,23.4682,24.105,23.9904,66.6532
2008-09-01,25.3528,23.3721,23.293,24.0853,22.9928,69.0364
2008-10-01,23.9417,23.916,22.2809,22.3344,21.7662,86.4295
2008-11-01,21.9745,24.7423,20.821,19.9559,20.6183,54.8879
2008-12-01,20.6358,25.8928,19.4699,18.547,19.7394,228.406
2009-01-01,19.6715,27.5415,18.6503,17.5762,18.928,353.232
2009-02-01,19.2589,28.4655,17.8912,16.9334,18.5777,300.562
2009-03-01,18.9826,28.3017,17.906,17.0466,18.4542,471.566
2009-04-01,19.9232,27.7394,18.4887,17.2592,18.8538,448.175
2009-05-01,21.7306,26.7141,19.9701,18.7006,21.0028,358.774
2009-06-01,23.9785,25.1748,21.4774,21.1914,22.429,113.423
2009-07-01,25.4019,24.0921,22.7545,22.9331,23.2924,37.3478
2009-08-01,25.9329,23.37,23.3446,23.9744,23.578,26.0027
2009-09-01,25.6877,23.6749,23.2534,23.7666,23.337,30.426
2009-10-01,24.4574,24.2125,22.5368,23.1418,22.3036,57.588
2009-11-01,22.7057,25.2779,21.3214,21.6508,21.2741,33.8143
2009-12-01,20.6614,26.0207,19.7659,19.9039,20.0762,243.152
2010-01-01,19.3889,27.4202,18.6953,18.0402,19.1282,265.546
2010-02-01,18.6724,28.3556,17.9287,17.2547,18.61,247.287
2010-03-01,18.7442,28.3988,18.5194,16.9073,18.3982,223.79
2010-04-01,19.6668,27.613,18.9267,17.1502,18.8304,296.426
2010-05-01,20.8663,26.3104,20.6243,18.6342,19.4939,162.437
2010-06-01,22.6853,24.8555,21.6852,19.8593,20.7099,45.1128
2010-07-01,24.4023,23.7677,23.2582,21.9413,21.8039,25.6126
2010-08-01,25.1839,23.1359,24.8487,23.2157,22.3501,23.0054
2010-09-01,25.3104,23.2593,23.6974,23.22,22.452,16.3843
2010-10-01,23.744,23.8289,22.964,22.6609,21.4764,47.7849
2010-11-01,21.9959,24.9158,21.1567,20.8547,20.3684,100.276
2010-12-01,20.0529,26.4629,19.2442,18.6517,19.0549,153.854
2011-01-01,18.5602,27.3744,18.7163,17.2366,18.0654,351.006
2011-02-01,18.1882,28.4833,17.5993,16.2955,17.6924,292.521
2011-03-01,18.3806,28.4924,17.7689,16.3277,17.5673,281.146
2011-04-01,19.2943,27.6902,18.3586,17.1619,18.356,337.974
2011-05-01,20.7954,26.6319,19.4592,18.5574,19.2195,233.551
2011-06-01,23.3718,24.9597,21.3632,20.0025,21.1468,45.4805
2011-07-01,25.4848,23.6456,23.1322,22.3907,22.8732,39.4792
2011-08-01,25.7785,23.3484,24.1665,24.16,23.4548,37.0153
2011-09-01,24.8888,23.6745,23.7388,23.2916,22.6052,8.73877
2011-10-01,23.6721,24.14,22.7213,21.7004,21.5755,120.389
2011-11-01,22.3872,24.7328,21.0,20.1527,20.6574,118.881
2011-12-01,20.3586,25.926,19.0351,19.1806,19.0934,25.6128
2012-01-01,19.0186,27.4635,17.8026,17.2578,18.1007,270.311
2012-02-01,18.1037,28.0647,17.3985,16.2573,17.673,240.667
2012-03-01,18.5522,28.3349,17.2381,16.1102,17.9062,373.478
2012-04-01,19.5262,27.5536,18.0789,17.0421,18.3941,117.157
2012-05-01,21.1732,26.3053,19.4199,18.5406,19.5508,69.9619
2012-06-01,23.6835,24.8231,21.2515,20.4384,22.3415,25.7493
2012-07-01,25.8832,23.6776,22.4921,22.7984,24.1062,19.0446
2012-08-01,26.2358,23.1682,24.1251,24.3752,24.1599,0.914722
2012-09-01,26.1311,23.6044,24.4547,24.0807,24.0005,9.31005
2012-10-01,24.7476,23.9533,22.7657,23.6369,22.9443,23.5454
2012-11-01,23.2444,24.1906,20.8656,21.523,22.003,68.9425
2012-12-01,21.326,25.1518,19.7443,20.3925,20.5217,196.199
2013-01-01,20.0039,26.265,19.0986,18.2985,19.5381,247.551
2013-02-01,19.5917,27.6881,18.5045,17.6226,18.999,287.184
2013-03-01,19.3181,27.4726,18.8086,17.3841,18.6531,297.779
2013-04-01,19.856,26.7559,19.1284,17.4084,18.9406,267.335
2013-05-01,21.1062,25.4907,20.3671,18.5876,19.9415,211.766
2013-06-01,23.3618,24.2666,21.8713,20.1919,21.9115,105.958
2013-07-01,25.1197,23.2014,22.6591,22.3102,23.8888,71.8569
2013-08-01,26.0361,22.927,23.6618,23.761,23.5714,27.3092
2013-09-01,24.9131,23.0706,23.0469,23.2493,22.7235,9.12428
2013-10-01,23.1996,23.6433,22.1006,22.1836,21.9459,29.0793
2013-11-01,21.2613,24.3785,20.908,20.6527,20.3851,97.0895
2013-12-01,19.8271,26.0095,19.3052,18.7023,19.4145,90.9852
2014-01-01,18.8795,27.2218,18.7791,17.2537,18.6544,261.498
2014-02-01,18.5727,27.9151,18.5149,16.7136,18.4043,336.107
2014-03-01,18.7459,27.8606,18.507,16.8967,18.1433,218.037
2014-04-01,19.485,27.2291,18.8339,16.9568,18.6968,131.712
2014-05-01,21.1245,26.0267,19.8568,18.5417,19.7053,57.5665
2014-06-01,23.6691,24.4656,21.6637,20.8367,21.6263,20.1028
2014-07-01,24.9778,23.7104,24.1696,23.3147,22.7029,1.34186
2014-08-01,25.402,23.1522,25.4835,23.6835,22.9794,25.3881
2014-09-01,24.6327,23.3065,24.5367,23.0684,22.3707,22.3821
